COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;63102;05;00;2;SITIO;SAO;JOAO RODOVIA SAO JOSE DA VARGI;;SN;;;;;;;;;;;-19.727414999999997;-44.56249;734.0;PONTE ALTA;3;35694000
31;63102;05;00;2;SITIO;SAO;MIGUEL;;SN;;;;;;;;;;;-19.722938305555555;-44.51625663888889;664.0;AGUA ESPALHADA;3;35694000
31;63102;05;00;2;FAZENDA;;BELA VISTA;;SN;;;;;;;;;;;-19.70941997222222;-44.57338163888889;757.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;CAIANA;;SN;;;;;;;;;;;-19.707435;-44.62502163888889;849.0;CAIANA;3;35694000
31;63102;05;00;2;FAZENDA;;CAPAO CAVALO;;SN;;;;;;;;;;;-19.702613333333332;-44.596925;802.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;CENTRAL;;SN;;;;;;;;;;;-19.71154163888889;-44.61168333333333;796.0;CONQUISTA;3;35694000
31;63102;05;00;2;FAZENDA;;MOURAO;;SN;;;;;;;;;;;-19.720256638888888;-44.564539999999994;779.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;;SAO LOURENCO;;SN;;;;;;;;;;;-19.713681666666666;-44.59787333333333;787.0;CONQUISTA;3;35694000
31;63102;05;00;2;FAZENDA;SANTO;ANTONIO GRANJAS DE 13 A 19;;SN;;;;;;;;;;;-19.763988333333334;-44.60402163888889;782.0;APARICAO;3;35694000
31;63102;05;00;2;FAZENDA;SAO;GERALDO;117.0;KM;;;;;;;;;;;-19.690698305555557;-44.58600663888889;750.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;FAZENDA;SAO;JOSE;;SN;;;;;;;;;;;-19.731858305555555;-44.58923330555556;788.0;CONQUISTA;3;35694000
31;63102;05;00;2;GRANJA;;BARRERINHO;;SN;;;;;;;;;;;-19.73134;-44.57217;754.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;GRANJA;;BELA VISTA;;SN;;;;;;;;;;;-19.71963497222222;-44.59039333333334;767.0;CONQUISTA;3;35694000
31;63102;05;00;2;GRANJA;;DE RAIDAN;;SN;;;;;;;;;;;-19.714178305555556;-44.573839972222224;781.0;SAO JOSE DA VARGINHA;3;35694000
